Primary Type
Bug
Water
Fairy
Dragon
Dark
Electric
Ground
Fighting
Psychic
Dark
Fire
Dragon
Psychic
Ghost
Electric
Dark
Ghost
Dark
Grass
Ice
Normal
Poison
Rock
Steel
Fairy
Fighting
Bug
Rock
Ghost
Bug
Psychic
Fire
Bug
Fire
Poison
Rock
Poison
Ground
Electric
Dragon
Poison
Psychic
Poison
Bug
Bug
Fairy
Dark
Ground
Normal
Fairy
